order_id,date,product_id,product_name,category,brand,customer_id,customer_segment,region,city,state,quantity_sold,price,discount,stock_available,shipping_fee,payment_method,fulfillment_type,order_status,return_requested,rating,device_type,coupon_code,warehouse_zone,seller_notes,promo_flag
ORD50011,2024-01-03,4003,Knife Set,Kitchen,KitchenHub,CUST3059,VIP,East,Patna,West Bengal,2,1810,0,130,99,UPI,Direct,Delivered,No,3.3,Tablet,Unknown,A,Seasonal demand,Yes
ORD50012,2024-01-03,2001,Running Shoes,Fashion,SprintX,CUST3009,Repeat,North,Lucknow,Delhi,4,1400,5,185,67,Wallet,Warehouse,Delivered,No,4.7,Mobile,MEGA5,B,Discount-driven sales,No
ORD50013,2024-01-04,3003,Smart Scale,Health,HealWell,CUST3071,VIP,East,Patna,West Bengal,3,2465,8,95,103,NetBanking,Warehouse,Delivered,No,3.3,Tablet,NEW10,C,Stable demand,Yes
ORD50014,2024-01-04,1002,Bluetooth Keyboard,Electronics,SoundMax,CUST3008,VIP,West,Surat,Gujarat,4,1985,5,116,0,Card,Marketplace,Delivered,No,3.6,Tablet,NEW10,A,Discount-driven sales,No
ORD50015,2024-01-04,2001,Running Shoes,Fashion,SprintX,CUST3050,New,North,Lucknow,Delhi,4,1400,10,152,49,COD,Marketplace,Delivered,No,3.3,Desktop,SAVE15,A,High repeat orders,Yes
ORD50016,2024-01-04,1001,Wireless Mouse,Electronics,Voltix,CUST3056,VIP,North,Lucknow,Delhi,3,1800,10,183,0,COD,Direct,Processing,No,4.2,Tablet,FLASH30,A,Seasonal demand,Yes
ORD50017,2024-01-05,5004,Business Strategy,Books,BrightPages,CUST3062,Repeat,South,Chennai,Karnataka,7,850,5,202,99,UPI,Warehouse,Delivered,No,3.3,Desktop,FEST20,C,Seasonal demand,No
ORD50018,2024-01-05,4003,Knife Set,Kitchen,KitchenHub,CUST3019,VIP,West,Ahmedabad,Gujarat,3,1810,12,80,85,UPI,Marketplace,Delivered,No,3.4,Desktop,Unknown,A,Premium segment,Yes
ORD50019,2024-01-05,1005,Power Bank,Electronics,ByteCraft,CUST3022,Repeat,East,Bhubaneswar,West Bengal,5,2725,0,195,49,UPI,Warehouse,Delivered,No,4.9,Tablet,MEGA5,C,Seasonal demand,No
ORD50020,2024-01-06,3003,Smart Scale,Health,HealWell,CUST3024,Repeat,South,Chennai,Karnataka,2,2465,15,76,49,COD,Marketplace,Shipped,No,3.7,Tablet,Unknown,C,Stable demand,Yes
ORD50021,2024-01-06,1002,Bluetooth Keyboard,Electronics,SoundMax,CUST3055,Repeat,South,Bangalore,Karnataka,6,1985,5,115,85,COD,Marketplace,Delivered,No,3.9,Tablet,MEGA5,C,Stable demand,No
ORD50022,2024-01-06,4001,Coffee Press,Kitchen,MealMint,CUST3040,VIP,East,Kolkata,West Bengal,2,1625,5,126,49,UPI,Direct,Shipped,No,4.4,Desktop,Unknown,C,High repeat orders,Yes
ORD50023,2024-01-07,5002,Startup Playbook,Books,BookNest,CUST3077,VIP,South,Chennai,Karnataka,5,1870,0,190,49,COD,Marketplace,Delivered,No,4.1,Tablet,FEST20,A,Premium segment,No
ORD50024,2024-01-07,3003,Smart Scale,Health,HealWell,CUST3018,New,North,Lucknow,Delhi,3,2465,10,75,0,UPI,Warehouse,Processing,No,4.6,Desktop,Unknown,B,Discount-driven sales,No
ORD50025,2024-01-07,5005,Exam Guide,Books,ReadSphere,CUST3066,Repeat,West,Rajkot,Gujarat,11,480,0,337,103,UPI,Direct,Delivered,No,4.0,Desktop,Unknown,D,High repeat orders,No
ORD50026,2024-01-07,2001,Running Shoes,Fashion,SprintX,CUST3033,New,East,Bhubaneswar,West Bengal,4,1400,12,182,103,COD,Direct,Delivered,No,4.0,Tablet,FLASH30,B,Premium segment,Yes
ORD50027,2024-01-07,4005,Electric Kettle,Kitchen,HeatWave,CUST3019,VIP,North,Jaipur,Delhi,4,2180,0,137,0,Card,Warehouse,Delivered,No,4.0,Mobile,MEGA5,D,Discount-driven sales,No
ORD50028,2024-01-07,4004,Mixer Grinder,Kitchen,CookCraft,CUST3038,Repeat,East,Guwahati,West Bengal,2,1345,0,51,103,NetBanking,Direct,Delivered,No,4.3,Mobile,Unknown,B,Premium segment,No
ORD50029,2024-01-08,3003,Smart Scale,Health,HealWell,CUST3068,New,North,Chandigarh,Delhi,3,2465,12,57,99,NetBanking,Direct,Delivered,Yes,4.4,Mobile,Unknown,B,Stable demand,Yes
ORD50030,2024-01-08,3001,Yoga Mat,Health,FlexFit,CUST3032,New,South,Kochi,Karnataka,5,1445,15,135,49,NetBanking,Warehouse,Delivered,Yes,4.9,Mobile,SAVE15,A,Stable demand,No
ORD50031,2024-01-08,5002,Startup Playbook,Books,BookNest,CUST3014,VIP,North,Jaipur,Delhi,4,1870,0,158,85,Card,Marketplace,Delivered,No,3.5,Tablet,SAVE15,B,Premium segment,Yes
ORD50032,2024-01-09,2005,Casual Sneakers,Fashion,StreetRoot,CUST3038,VIP,North,Delhi,Delhi,6,1585,12,170,67,Wallet,Warehouse,Delivered,No,3.3,Tablet,Unknown,C,Stable demand,No
ORD50033,2024-01-09,4004,Mixer Grinder,Kitchen,CookCraft,CUST3058,VIP,East,Kolkata,West Bengal,2,1345,12,106,103,Card,Marketplace,Delivered,No,4.4,Tablet,Unknown,D,Discount-driven sales,No
ORD50034,2024-01-09,5002,Startup Playbook,Books,BookNest,CUST3031,Repeat,North,Delhi,Delhi,6,1870,10,173,103,Wallet,Direct,Delivered,No,4.1,Desktop,FEST20,D,Seasonal demand,No
ORD50035,2024-01-10,3001,Yoga Mat,Health,FlexFit,CUST3030,VIP,North,Chandigarh,Delhi,4,1445,5,160,0,NetBanking,Direct,Delivered,No,3.2,Desktop,MEGA5,D,Seasonal demand,Yes
ORD50036,2024-01-10,2004,Travel Hoodie,Fashion,ModaCrew,CUST3045,VIP,South,Kochi,Karnataka,2,2790,15,131,85,NetBanking,Marketplace,Delivered,No,4.5,Desktop,SAVE15,B,Seasonal demand,Yes
ORD50037,2024-01-10,4005,Electric Kettle,Kitchen,HeatWave,CUST3022,Repeat,North,Lucknow,Delhi,4,2180,8,121,0,UPI,Direct,Delivered,No,5.0,Tablet,FLASH30,B,Discount-driven sales,Yes
ORD50038,2024-01-10,5003,Programming Basics,Books,MindPress,CUST3006,Repeat,East,Guwahati,West Bengal,8,665,8,305,67,NetBanking,Warehouse,Shipped,No,3.3,Tablet,NEW10,B,Seasonal demand,No
ORD50039,2024-01-10,4003,Knife Set,Kitchen,KitchenHub,CUST3048,Repeat,West,Rajkot,Gujarat,3,1810,0,99,0,NetBanking,Marketplace,Shipped,No,3.7,Tablet,NEW10,A,Seasonal demand,No
ORD50040,2024-01-11,5002,Startup Playbook,Books,BookNest,CUST3029,Repeat,East,Guwahati,West Bengal,4,1870,0,183,67,COD,Direct,Shipped,Yes,3.6,Desktop,MEGA5,D,Stable demand,No
ORD50041,2024-01-11,1003,Gaming Headset,Electronics,VisionOne,CUST3039,VIP,North,Delhi,Delhi,3,2170,8,94,103,Wallet,Marketplace,Delivered,No,3.7,Desktop,FLASH30,D,Discount-driven sales,Yes
ORD50042,2024-01-11,2001,Running Shoes,Fashion,SprintX,CUST3029,VIP,South,Hyderabad,Karnataka,3,1400,12,130,99,Wallet,Direct,Processing,No,4.4,Desktop,NEW10,B,Discount-driven sales,No
ORD50043,2024-01-11,2003,Sports T-Shirt,Fashion,FitWear,CUST3044,Repeat,East,Guwahati,West Bengal,6,1955,8,189,0,COD,Marketplace,Delivered,No,3.8,Tablet,Unknown,C,Discount-driven sales,No
ORD50044,2024-01-11,4003,Knife Set,Kitchen,KitchenHub,CUST3051,VIP,South,Hyderabad,Karnataka,3,1810,15,118,0,UPI,Direct,Shipped,No,3.3,Tablet,Unknown,D,Discount-driven sales,No
ORD50045,2024-01-12,2004,Travel Hoodie,Fashion,ModaCrew,CUST3070,New,West,Surat,Gujarat,2,2790,15,81,0,Wallet,Marketplace,Delivered,No,4.8,Desktop,SAVE15,B,Discount-driven sales,No
ORD50046,2024-01-12,4003,Knife Set,Kitchen,KitchenHub,CUST3070,New,East,Guwahati,West Bengal,2,1810,8,107,67,NetBanking,Warehouse,Processing,No,4.8,Mobile,FLASH30,D,Premium segment,No
ORD50047,2024-01-12,1005,Power Bank,Electronics,ByteCraft,CUST3068,Repeat,South,Kochi,Karnataka,5,2725,0,179,49,COD,Marketplace,Delivered,No,4.0,Desktop,MEGA5,B,High repeat orders,No
ORD50048,2024-01-12,2005,Casual Sneakers,Fashion,StreetRoot,CUST3019,Repeat,South,Kochi,Karnataka,5,1585,12,183,0,UPI,Warehouse,Delivered,No,4.8,Desktop,SAVE15,D,Stable demand,No
ORD50049,2024-01-13,5001,Data Science Notes,Books,EduTrack,CUST3040,VIP,West,Vadodara,Gujarat,9,1315,12,270,99,NetBanking,Direct,Delivered,Yes,4.3,Desktop,MEGA5,A,Discount-driven sales,No
ORD50050,2024-01-13,1005,Power Bank,Electronics,ByteCraft,CUST3041,New,North,Lucknow,Delhi,6,2725,0,167,67,COD,Marketplace,Delivered,No,4.2,Tablet,FEST20,B,Seasonal demand,Yes
ORD50051,2024-01-13,1003,Gaming Headset,Electronics,VisionOne,CUST3032,Repeat,North,Jaipur,Delhi,3,2170,5,140,67,COD,Direct,Delivered,No,4.8,Tablet,FEST20,A,Discount-driven sales,No
ORD50052,2024-01-13,4001,Coffee Press,Kitchen,MealMint,CUST3025,Repeat,East,Patna,West Bengal,3,1625,8,142,99,NetBanking,Warehouse,Delivered,No,4.2,Tablet,FLASH30,A,Discount-driven sales,Yes
ORD50053,2024-01-13,2004,Travel Hoodie,Fashion,ModaCrew,CUST3045,New,East,Patna,West Bengal,2,2790,0,88,85,Card,Direct,Delivered,No,4.6,Tablet,FEST20,A,Stable demand,Yes
ORD50054,2024-01-13,3001,Yoga Mat,Health,FlexFit,CUST3053,New,North,Delhi,Delhi,5,1445,10,137,99,Card,Warehouse,Delivered,No,3.9,Tablet,FLASH30,B,Premium segment,No
ORD50055,2024-01-14,2005,Casual Sneakers,Fashion,StreetRoot,CUST3001,Repeat,East,Patna,West Bengal,4,1585,5,148,103,Wallet,Warehouse,Delivered,No,4.4,Tablet,Unknown,C,Stable demand,No
ORD50056,2024-01-14,5004,Business Strategy,Books,BrightPages,CUST3038,VIP,North,Delhi,Delhi,7,850,10,228,85,NetBanking,Warehouse,Delivered,No,3.7,Desktop,SAVE15,A,Seasonal demand,No
ORD50057,2024-01-14,3001,Yoga Mat,Health,FlexFit,CUST3012,Repeat,East,Bhubaneswar,West Bengal,4,1445,15,151,49,Wallet,Marketplace,Processing,No,4.4,Mobile,Unknown,D,Seasonal demand,No
ORD50058,2024-01-14,1004,Smart Watch,Electronics,TechAura,CUST3024,New,South,Bangalore,Karnataka,1,2820,10,108,85,NetBanking,Warehouse,Delivered,No,4.3,Mobile,NEW10,C,Seasonal demand,No
ORD50059,2024-01-14,3005,Massager Gun,Health,ZenPulse,CUST3018,VIP,North,Jaipur,Delhi,4,1725,5,61,0,UPI,Marketplace,Shipped,No,3.4,Desktop,FEST20,A,Stable demand,Yes
ORD50060,2024-01-14,1003,Gaming Headset,Electronics,VisionOne,CUST3006,New,South,Bangalore,Karnataka,2,2170,5,108,85,NetBanking,Direct,Delivered,Yes,4.0,Desktop,SAVE15,D,High repeat orders,Yes
ORD50061,2024-01-15,5004,Business Strategy,Books,BrightPages,CUST3013,Repeat,East,Guwahati,West Bengal,7,850,0,223,0,NetBanking,Warehouse,Shipped,No,3.5,Mobile,FLASH30,C,Discount-driven sales,No
ORD50062,2024-01-15,5002,Startup Playbook,Books,BookNest,CUST3070,VIP,East,Kolkata,West Bengal,5,1870,15,149,85,Card,Marketplace,Delivered,No,3.8,Desktop,Unknown,D,Stable demand,Yes
ORD50063,2024-01-15,4002,Air Fryer Basket,Kitchen,ChefLine,CUST3010,New,North,Chandigarh,Delhi,2,2645,8,66,49,NetBanking,Warehouse,Delivered,No,3.4,Mobile,Unknown,A,Discount-driven sales,No
ORD50064,2024-01-16,5004,Business Strategy,Books,BrightPages,CUST3071,Repeat,East,Bhubaneswar,West Bengal,6,850,5,191,0,UPI,Marketplace,Delivered,No,4.7,Tablet,NEW10,C,Stable demand,Yes
ORD50065,2024-01-16,1002,Bluetooth Keyboard,Electronics,SoundMax,CUST3072,VIP,South,Bangalore,Karnataka,5,1985,8,138,49,NetBanking,Warehouse,Delivered,No,3.3,Tablet,MEGA5,D,Discount-driven sales,No
ORD50066,2024-01-16,2005,Casual Sneakers,Fashion,StreetRoot,CUST3020,VIP,South,Bangalore,Karnataka,4,1585,8,147,99,UPI,Direct,Delivered,No,4.0,Tablet,Unknown,D,Premium segment,Yes
ORD50067,2024-01-16,4005,Electric Kettle,Kitchen,HeatWave,CUST3039,New,West,Vadodara,Gujarat,4,2180,10,150,67,Card,Marketplace,Processing,Yes,3.6,Mobile,FEST20,C,Premium segment,Yes
ORD50068,2024-01-16,5003,Programming Basics,Books,MindPress,CUST3029,VIP,North,Chandigarh,Delhi,8,665,12,314,0,Wallet,Direct,Shipped,Yes,4.8,Mobile,Unknown,A,Discount-driven sales,No
ORD50069,2024-01-16,3002,Protein Powder,Health,NutriCore,CUST3051,New,East,Guwahati,West Bengal,8,1260,12,99,85,COD,Warehouse,Shipped,No,4.7,Desktop,SAVE15,D,Stable demand,Yes
ORD50070,2024-01-17,4002,Air Fryer Basket,Kitchen,ChefLine,CUST3018,New,West,Surat,Gujarat,2,2645,5,100,0,UPI,Warehouse,Delivered,No,3.5,Tablet,SAVE15,B,Discount-driven sales,No
ORD50071,2024-01-17,1003,Gaming Headset,Electronics,VisionOne,CUST3008,Repeat,South,Hyderabad,Karnataka,3,2170,15,103,99,NetBanking,Direct,Delivered,No,3.3,Tablet,SAVE15,C,Discount-driven sales,No
ORD50072,2024-01-17,3003,Smart Scale,Health,HealWell,CUST3070,VIP,West,Rajkot,Gujarat,2,2465,8,103,0,UPI,Marketplace,Shipped,No,3.5,Tablet,Unknown,B,Stable demand,No
ORD50073,2024-01-17,2005,Casual Sneakers,Fashion,StreetRoot,CUST3056,Repeat,West,Surat,Gujarat,5,1585,10,145,99,Wallet,Direct,Delivered,No,4.9,Desktop,Unknown,C,High repeat orders,Yes
ORD50074,2024-01-17,3001,Yoga Mat,Health,FlexFit,CUST3032,VIP,South,Bangalore,Karnataka,5,1445,10,149,0,Wallet,Warehouse,Delivered,No,3.5,Desktop,FLASH30,D,Seasonal demand,No
ORD50075,2024-01-17,2003,Sports T-Shirt,Fashion,FitWear,CUST3067,New,East,Patna,West Bengal,8,1955,8,182,85,NetBanking,Direct,Delivered,No,3.5,Mobile,Unknown,D,Seasonal demand,Yes
ORD50076,2024-01-18,1005,Power Bank,Electronics,ByteCraft,CUST3020,New,South,Chennai,Karnataka,5,2725,0,213,99,Wallet,Warehouse,Delivered,Yes,3.9,Tablet,MEGA5,D,High repeat orders,Yes
ORD50077,2024-01-18,1003,Gaming Headset,Electronics,VisionOne,CUST3047,VIP,North,Lucknow,Delhi,3,2170,15,147,0,Wallet,Marketplace,Delivered,No,3.9,Tablet,Unknown,B,Seasonal demand,No
ORD50078,2024-01-18,2005,Casual Sneakers,Fashion,StreetRoot,CUST3066,New,East,Patna,West Bengal,4,1585,8,211,0,COD,Warehouse,Delivered,No,4.8,Mobile,Unknown,A,Seasonal demand,No
ORD50079,2024-01-18,1004,Smart Watch,Electronics,TechAura,CUST3030,Repeat,West,Rajkot,Gujarat,2,2820,0,120,67,UPI,Marketplace,Delivered,No,3.4,Tablet,Unknown,B,Seasonal demand,Yes
ORD50080,2024-01-19,5003,Programming Basics,Books,MindPress,CUST3077,VIP,South,Chennai,Karnataka,8,665,0,265,0,NetBanking,Warehouse,Delivered,No,3.4,Mobile,Unknown,D,Stable demand,Yes
ORD50081,2024-01-19,1005,Power Bank,Electronics,ByteCraft,CUST3000,VIP,North,Jaipur,Delhi,7,2725,0,193,99,COD,Warehouse,Delivered,No,4.4,Tablet,Unknown,A,High repeat orders,No
ORD50082,2024-01-19,5005,Exam Guide,Books,ReadSphere,CUST3032,VIP,East,Kolkata,West Bengal,15,480,0,339,67,UPI,Marketplace,Delivered,No,4.5,Tablet,SAVE15,C,Seasonal demand,Yes
ORD50083,2024-01-19,4001,Coffee Press,Kitchen,MealMint,CUST3008,VIP,East,Guwahati,West Bengal,3,1625,5,110,103,NetBanking,Warehouse,Delivered,Yes,3.6,Mobile,Unknown,C,High repeat orders,No
ORD50084,2024-01-19,3005,Massager Gun,Health,ZenPulse,CUST3006,VIP,West,Surat,Gujarat,4,1725,15,68,49,COD,Marketplace,Delivered,No,4.8,Tablet,Unknown,D,Premium segment,No
ORD50085,2024-01-19,4005,Electric Kettle,Kitchen,HeatWave,CUST3055,VIP,South,Bangalore,Karnataka,4,2180,15,150,49,Card,Direct,Delivered,Yes,3.8,Desktop,FLASH30,D,High repeat orders,No
ORD50086,2024-01-20,5003,Programming Basics,Books,MindPress,CUST3051,Repeat,East,Patna,West Bengal,12,665,10,265,85,Wallet,Direct,Delivered,No,3.5,Tablet,Unknown,A,Seasonal demand,Yes
ORD50087,2024-01-20,3005,Massager Gun,Health,ZenPulse,CUST3057,Repeat,East,Kolkata,West Bengal,4,1725,10,47,49,COD,Marketplace,Delivered,No,4.2,Desktop,Unknown,C,Seasonal demand,No
ORD50088,2024-01-20,3002,Protein Powder,Health,NutriCore,CUST3057,New,East,Kolkata,West Bengal,5,1260,5,93,67,Wallet,Marketplace,Delivered,No,3.6,Mobile,SAVE15,D,Seasonal demand,No
ORD50089,2024-01-20,1002,Bluetooth Keyboard,Electronics,SoundMax,CUST3069,Repeat,South,Hyderabad,Karnataka,4,1985,0,116,103,COD,Warehouse,Delivered,No,4.3,Desktop,MEGA5,A,Seasonal demand,No
ORD50090,2024-01-21,4001,Coffee Press,Kitchen,MealMint,CUST3050,VIP,North,Delhi,Delhi,3,1625,15,92,103,NetBanking,Direct,Delivered,No,4.2,Mobile,Unknown,A,Discount-driven sales,No
ORD50091,2024-01-21,1001,Wireless Mouse,Electronics,Voltix,CUST3007,New,North,Jaipur,Delhi,4,1800,5,193,103,Wallet,Warehouse,Delivered,No,4.9,Mobile,Unknown,C,Stable demand,Yes
ORD50092,2024-01-21,3002,Protein Powder,Health,NutriCore,CUST3021,VIP,South,Bangalore,Karnataka,7,1260,8,113,0,Wallet,Warehouse,Delivered,No,4.8,Desktop,NEW10,A,Stable demand,Yes
ORD50093,2024-01-21,4003,Knife Set,Kitchen,KitchenHub,CUST3069,Repeat,North,Chandigarh,Delhi,3,1810,8,77,99,COD,Marketplace,Delivered,No,3.9,Desktop,SAVE15,A,Seasonal demand,No
ORD50094,2024-01-22,3005,Massager Gun,Health,ZenPulse,CUST3065,VIP,South,Kochi,Karnataka,5,1725,10,46,99,UPI,Marketplace,Delivered,No,4.0,Mobile,SAVE15,A,Premium segment,No
ORD50095,2024-01-22,2002,Denim Jacket,Fashion,UrbanBeat,CUST3020,Repeat,North,Lucknow,Delhi,3,1770,12,137,0,Wallet,Marketplace,Delivered,No,3.2,Desktop,Unknown,B,Seasonal demand,No
ORD50096,2024-01-22,3001,Yoga Mat,Health,FlexFit,CUST3013,Repeat,East,Patna,West Bengal,4,1445,8,174,67,Card,Marketplace,Delivered,No,3.9,Desktop,NEW10,B,Premium segment,No
ORD50097,2024-01-22,4005,Electric Kettle,Kitchen,HeatWave,CUST3050,Repeat,South,Bangalore,Karnataka,3,2180,15,113,103,COD,Direct,Processing,No,3.6,Tablet,Unknown,A,Stable demand,Yes
ORD50098,2024-01-22,1005,Power Bank,Electronics,ByteCraft,CUST3041,VIP,East,Bhubaneswar,West Bengal,6,2725,15,229,85,COD,Warehouse,Delivered,No,4.7,Tablet,Unknown,D,High repeat orders,Yes
ORD50099,2024-01-22,5003,Programming Basics,Books,MindPress,CUST3003,VIP,West,Rajkot,Gujarat,13,665,10,270,49,NetBanking,Marketplace,Processing,No,4.6,Tablet,MEGA5,A,High repeat orders,No
ORD50100,2024-01-23,1005,Power Bank,Electronics,ByteCraft,CUST3026,Repeat,East,Bhubaneswar,West Bengal,4,2725,15,210,49,Wallet,Direct,Processing,No,4.5,Mobile,FEST20,B,High repeat orders,Yes
ORD50101,2024-01-23,5002,Startup Playbook,Books,BookNest,CUST3069,Repeat,North,Chandigarh,Delhi,6,1870,12,206,49,COD,Direct,Delivered,No,3.7,Desktop,MEGA5,C,Premium segment,No
ORD50102,2024-01-23,2003,Sports T-Shirt,Fashion,FitWear,CUST3015,VIP,East,Patna,West Bengal,7,1955,15,211,49,Wallet,Marketplace,Shipped,No,3.8,Mobile,FLASH30,A,Premium segment,No
ORD50103,2024-01-23,1002,Bluetooth Keyboard,Electronics,SoundMax,CUST3068,Repeat,South,Kochi,Karnataka,3,1985,15,144,99,Wallet,Direct,Delivered,Yes,4.5,Mobile,MEGA5,A,High repeat orders,Yes
ORD50104,2024-01-23,4004,Mixer Grinder,Kitchen,CookCraft,CUST3017,New,South,Kochi,Karnataka,2,1345,0,61,67,Wallet,Warehouse,Delivered,No,4.8,Desktop,MEGA5,C,Premium segment,Yes
ORD50105,2024-01-23,1004,Smart Watch,Electronics,TechAura,CUST3022,New,North,Delhi,Delhi,1,2820,0,80,99,NetBanking,Marketplace,Delivered,No,4.8,Desktop,NEW10,A,Premium segment,No
ORD50106,2024-01-24,3001,Yoga Mat,Health,FlexFit,CUST3042,New,East,Patna,West Bengal,6,1445,15,128,0,NetBanking,Direct,Delivered,No,4.5,Desktop,MEGA5,B,High repeat orders,No
ORD50107,2024-01-24,2005,Casual Sneakers,Fashion,StreetRoot,CUST3012,New,South,Bangalore,Karnataka,5,1585,12,181,85,Card,Marketplace,Delivered,No,3.7,Mobile,Unknown,C,Premium segment,Yes
ORD50108,2024-01-24,3005,Massager Gun,Health,ZenPulse,CUST3015,Repeat,South,Chennai,Karnataka,4,1725,0,35,49,COD,Warehouse,Delivered,No,4.8,Tablet,FLASH30,A,Premium segment,No
ORD50109,2024-01-25,2003,Sports T-Shirt,Fashion,FitWear,CUST3076,New,East,Bhubaneswar,West Bengal,7,1955,10,200,67,Wallet,Marketplace,Delivered,No,4.9,Mobile,NEW10,B,High repeat orders,No
ORD50110,2024-01-25,1005,Power Bank,Electronics,ByteCraft,CUST3057,New,North,Chandigarh,Delhi,4,2725,15,169,0,NetBanking,Warehouse,Delivered,No,3.3,Desktop,FLASH30,A,Discount-driven sales,Yes
ORD50111,2024-01-25,4001,Coffee Press,Kitchen,MealMint,CUST3008,VIP,West,Ahmedabad,Gujarat,2,1625,5,140,85,UPI,Warehouse,Processing,No,3.7,Mobile,FEST20,D,Premium segment,No
ORD50112,2024-01-25,3005,Massager Gun,Health,ZenPulse,CUST3022,VIP,West,Surat,Gujarat,3,1725,12,81,67,NetBanking,Direct,Delivered,No,4.7,Mobile,FLASH30,D,High repeat orders,No
ORD50113,2024-01-26,2003,Sports T-Shirt,Fashion,FitWear,CUST3008,New,East,Kolkata,West Bengal,5,1955,0,215,0,Wallet,Warehouse,Delivered,No,4.8,Mobile,NEW10,D,Discount-driven sales,Yes
ORD50114,2024-01-26,5005,Exam Guide,Books,ReadSphere,CUST3076,VIP,South,Chennai,Karnataka,11,480,0,327,0,COD,Warehouse,Delivered,No,4.4,Mobile,Unknown,C,Premium segment,Yes
ORD50115,2024-01-26,3005,Massager Gun,Health,ZenPulse,CUST3048,VIP,East,Guwahati,West Bengal,5,1725,5,36,99,COD,Direct,Delivered,No,3.9,Tablet,Unknown,B,Seasonal demand,Yes
ORD50116,2024-01-26,3002,Protein Powder,Health,NutriCore,CUST3049,New,East,Guwahati,West Bengal,7,1260,15,130,0,COD,Warehouse,Delivered,Yes,4.0,Desktop,SAVE15,B,Stable demand,Yes
ORD50117,2024-01-26,1005,Power Bank,Electronics,ByteCraft,CUST3026,Repeat,West,Surat,Gujarat,6,2725,0,185,103,COD,Warehouse,Delivered,No,4.5,Tablet,Unknown,B,High repeat orders,No
ORD50118,2024-01-26,2004,Travel Hoodie,Fashion,ModaCrew,CUST3068,VIP,South,Hyderabad,Karnataka,2,2790,5,109,85,COD,Marketplace,Delivered,No,4.1,Mobile,Unknown,C,Seasonal demand,No
ORD50119,2024-01-27,1002,Bluetooth Keyboard,Electronics,SoundMax,CUST3048,VIP,North,Jaipur,Delhi,5,1985,12,157,49,Card,Marketplace,Delivered,No,3.8,Desktop,Unknown,D,Seasonal demand,No
ORD50120,2024-01-27,4004,Mixer Grinder,Kitchen,CookCraft,CUST3007,VIP,East,Bhubaneswar,West Bengal,2,1345,5,118,99,UPI,Warehouse,Processing,No,4.6,Desktop,FEST20,B,Stable demand,No
ORD50121,2024-01-27,2003,Sports T-Shirt,Fashion,FitWear,CUST3000,VIP,West,Rajkot,Gujarat,4,1955,15,248,49,Wallet,Marketplace,Delivered,No,3.7,Desktop,NEW10,D,Seasonal demand,Yes
ORD50122,2024-01-27,1005,Power Bank,Electronics,ByteCraft,CUST3050,New,North,Lucknow,Delhi,4,2725,5,207,0,COD,Marketplace,Delivered,No,4.5,Desktop,SAVE15,A,Stable demand,No
