order_id,order_date,product_id,product_name,category,brand,customer_id,customer_segment,region,city,state,quantity_sold,price,discount,stock_available,shipping_fee,payment_method,fulfillment_type,order_status,return_requested,rating,device_type,coupon_code,warehouse_zone,seller_notes,promo_flag
ORD70034,2025-01-01,1034,Sports T-Shirt,Fashion,FitWear,CUST4297,New,West,Pune,Maharashtra,9,1955,12,97,74,Card,Marketplace,Delivered,No,4.5,Mobile,MEGA5,B,Stable demand,Yes
ORD70035,2025-01-01,1035,Leather Wallet,Fashion,StreetRoot,CUST4306,Repeat,West,Nagpur,Maharashtra,7,2140,15,123,89,COD,Warehouse,Shipped,No,4.7,Desktop,,C,Seasonal demand,Yes
ORD70036,2025-01-01,1036,Sunglasses,Fashion,SprintX,CUST4315,VIP,North,Delhi,Delhi,4,2250,18,59,29,NetBanking,Marketplace,Processing,No,4.4,Tablet,NEW10,D,Premium segment,Yes
ORD70037,2025-01-01,1037,Fitness Band Strap,Fashion,ModaCrew,CUST4324,New,North,Jaipur,Rajasthan,6,2435,20,53,44,UPI,Warehouse,Delivered,No,3.9,Mobile,SAVE15,A,Fast moving item,Yes
ORD70038,2025-01-01,1038,Cap,Fashion,UrbanBeat,CUST4333,Repeat,North,Lucknow,Uttar Pradesh,8,2620,5,79,59,Card,Marketplace,Delivered,No,4.1,Desktop,FEST20,B,Stable demand,Yes
ORD70039,2025-01-01,1039,Travel Hoodie,Fashion,FitWear,CUST4342,VIP,South,Bengaluru,Karnataka,6,2805,8,105,74,COD,Warehouse,Shipped,No,4.3,Tablet,MEGA5,C,Seasonal demand,Yes
ORD70040,2025-01-01,1040,Gym Bag,Fashion,StreetRoot,CUST4351,New,South,Hyderabad,Telangana,8,2990,10,131,89,NetBanking,Marketplace,Processing,No,4.6,Mobile,,D,Premium segment,Yes
ORD70041,2025-01-02,1001,Wireless Mouse,Electronics,Voltix,CUST4011,Repeat,West,Surat,Gujarat,2,1815,5,35,29,Card,Marketplace,Delivered,No,3.9,Desktop,SAVE15,B,Stable demand,No
ORD70042,2025-01-02,1002,Bluetooth Keyboard,Electronics,SoundMax,CUST4020,VIP,West,Vadodara,Gujarat,4,2000,8,61,44,COD,Warehouse,Shipped,No,4.1,Tablet,FEST20,C,Seasonal demand,No
ORD70043,2025-01-02,1003,Gaming Headset,Electronics,VisionOne,CUST4029,New,West,Rajkot,Gujarat,6,2185,10,87,59,NetBanking,Marketplace,Processing,No,4.3,Mobile,MEGA5,D,Premium segment,No
ORD70044,2025-01-02,1004,USB-C Charger,Electronics,TechAura,CUST4038,Repeat,West,Mumbai,Maharashtra,8,2370,12,113,74,UPI,Warehouse,Delivered,No,4.6,Desktop,,A,Fast moving item,No
ORD70045,2025-01-02,1005,Webcam HD,Electronics,ByteCraft,CUST4047,VIP,West,Pune,Maharashtra,1,2480,15,107,89,Card,Marketplace,Delivered,No,4.3,Tablet,NEW10,B,Stable demand,No
ORD70046,2025-01-02,1006,Power Bank,Electronics,Voltix,CUST4056,New,West,Nagpur,Maharashtra,3,2665,18,43,29,COD,Warehouse,Shipped,No,4.5,Mobile,SAVE15,C,Seasonal demand,No
ORD70047,2025-01-02,1007,Smart Watch,Electronics,SoundMax,CUST4065,Repeat,North,Delhi,Delhi,5,2850,20,69,44,NetBanking,Marketplace,Processing,No,4.0,Desktop,FEST20,D,Premium segment,No
ORD70048,2025-01-02,1008,Portable SSD,Electronics,VisionOne,CUST4074,VIP,North,Jaipur,Rajasthan,7,3035,5,95,59,UPI,Warehouse,Delivered,No,4.2,Tablet,MEGA5,A,Fast moving item,No
ORD70049,2025-01-02,1009,Noise Cancelling Headphones,Electronics,TechAura,CUST4083,New,North,Lucknow,Uttar Pradesh,5,3220,8,77,74,Card,Marketplace,Delivered,No,4.4,Mobile,,B,Stable demand,No
ORD70050,2025-01-02,1010,LED Monitor,Electronics,ByteCraft,CUST4092,Repeat,South,Bengaluru,Karnataka,2,3330,10,115,89,COD,Warehouse,Shipped,No,4.2,Desktop,NEW10,C,Seasonal demand,No
ORD70051,2025-01-02,1011,Laptop Sleeve,Accessories,UrbanTrail,CUST4101,VIP,South,Hyderabad,Telangana,2,715,5,63,29,NetBanking,Marketplace,Processing,No,3.9,Tablet,SAVE15,D,Premium segment,No
ORD70052,2025-01-02,1012,Phone Case,Accessories,CarryNest,CUST4110,New,South,Chennai,Tamil Nadu,4,900,8,89,44,UPI,Warehouse,Delivered,No,4.1,Mobile,FEST20,A,Fast moving item,No
ORD70053,2025-01-02,1013,Desk Organizer,Accessories,LoopGear,CUST4119,Repeat,East,Kolkata,West Bengal,6,1085,10,83,59,Card,Marketplace,Delivered,No,4.3,Desktop,MEGA5,B,Stable demand,No
ORD70054,2025-01-02,1014,Cable Protector,Accessories,FlexCase,CUST4128,VIP,West,Ahmedabad,Gujarat,8,1270,12,109,74,COD,Warehouse,Shipped,No,4.6,Tablet,,C,Seasonal demand,No
ORD70055,2025-01-02,1015,Mouse Pad,Accessories,PackPoint,CUST4137,New,West,Surat,Gujarat,1,1380,15,180,89,NetBanking,Marketplace,Processing,No,4.3,Mobile,NEW10,D,Premium segment,No
ORD70056,2025-01-02,1016,Backpack,Accessories,UrbanTrail,CUST4146,Repeat,West,Vadodara,Gujarat,3,1565,18,71,29,UPI,Warehouse,Delivered,No,4.5,Desktop,SAVE15,A,Fast moving item,No
ORD70057,2025-01-02,1017,Laptop Stand,Accessories,CarryNest,CUST4155,VIP,West,Rajkot,Gujarat,5,1750,20,65,44,Card,Marketplace,Delivered,No,4.0,Tablet,FEST20,B,Stable demand,No
ORD70058,2025-01-02,1018,Screen Cleaner Kit,Accessories,LoopGear,CUST4164,New,West,Mumbai,Maharashtra,7,1935,5,91,59,COD,Warehouse,Shipped,No,4.2,Mobile,MEGA5,C,Seasonal demand,No
ORD70059,2025-01-02,1019,Travel Adapter,Accessories,FlexCase,CUST4173,Repeat,West,Pune,Maharashtra,5,2120,8,117,74,NetBanking,Marketplace,Processing,No,4.4,Desktop,,D,Premium segment,No
ORD70060,2025-01-02,1020,Stylus Pen,Accessories,PackPoint,CUST4182,VIP,West,Nagpur,Maharashtra,2,2230,10,143,89,UPI,Warehouse,Delivered,No,4.2,Tablet,NEW10,A,Fast moving item,No
ORD70061,2025-01-02,1021,Smart Bulb,Home,BrightNest,CUST4191,New,North,Delhi,Delhi,2,615,5,47,29,Card,Marketplace,Delivered,No,3.9,Mobile,SAVE15,B,Stable demand,No
ORD70062,2025-01-02,1022,LED Desk Lamp,Home,ClayCraft,CUST4200,Repeat,North,Jaipur,Rajasthan,4,800,8,73,44,COD,Warehouse,Shipped,No,4.1,Desktop,FEST20,C,Seasonal demand,No
ORD70063,2025-01-02,1023,Ceramic Coffee Mug,Home,HomeGlow,CUST4209,VIP,North,Lucknow,Uttar Pradesh,6,985,10,144,59,NetBanking,Marketplace,Processing,No,4.3,Tablet,MEGA5,D,Premium segment,No
ORD70064,2025-01-02,1024,Water Bottle,Home,NordLeaf,CUST4218,New,South,Bengaluru,Karnataka,8,1170,12,125,74,UPI,Warehouse,Delivered,No,4.6,Mobile,,A,Fast moving item,No
ORD70065,2025-01-02,1025,Air Purifier Filter,Home,AuraLite,CUST4227,Repeat,South,Hyderabad,Telangana,1,1280,15,119,89,Card,Marketplace,Delivered,No,4.3,Desktop,NEW10,B,Stable demand,No
ORD70066,2025-01-02,1026,Wall Clock,Home,BrightNest,CUST4236,VIP,South,Chennai,Tamil Nadu,3,1465,18,55,29,COD,Warehouse,Shipped,No,4.5,Tablet,SAVE15,C,Seasonal demand,No
ORD70067,2025-01-02,1027,Storage Basket,Home,ClayCraft,CUST4245,New,East,Kolkata,West Bengal,5,1650,20,126,44,NetBanking,Marketplace,Processing,No,4.0,Mobile,FEST20,D,Premium segment,No
ORD70068,2025-01-02,1028,Table Runner,Home,HomeGlow,CUST4254,Repeat,West,Ahmedabad,Gujarat,7,1835,5,107,59,UPI,Warehouse,Delivered,No,4.2,Desktop,MEGA5,A,Fast moving item,No
ORD70069,2025-01-02,1029,Scented Candle,Home,NordLeaf,CUST4263,VIP,West,Surat,Gujarat,5,2020,8,101,74,Card,Marketplace,Delivered,No,4.4,Tablet,,B,Stable demand,No
ORD70070,2025-01-02,1030,Bedside Lamp,Home,AuraLite,CUST4272,New,West,Vadodara,Gujarat,2,2130,10,127,89,COD,Warehouse,Shipped,No,4.2,Mobile,NEW10,C,Seasonal demand,No
ORD70071,2025-01-02,1031,Running Shoes,Fashion,SprintX,CUST4281,Repeat,West,Rajkot,Gujarat,2,1415,5,51,29,NetBanking,Marketplace,Processing,Yes,3.9,Desktop,SAVE15,D,Premium segment,No
ORD70072,2025-01-02,1032,Casual Sneakers,Fashion,ModaCrew,CUST4290,VIP,West,Mumbai,Maharashtra,4,1600,8,77,44,UPI,Warehouse,Delivered,No,4.1,Tablet,FEST20,A,Fast moving item,No
ORD70073,2025-01-02,1033,Denim Jacket,Fashion,UrbanBeat,CUST4299,New,West,Pune,Maharashtra,6,1785,10,71,59,Card,Marketplace,Delivered,No,4.3,Mobile,MEGA5,B,Stable demand,No
ORD70074,2025-01-02,1034,Sports T-Shirt,Fashion,FitWear,CUST4308,Repeat,West,Nagpur,Maharashtra,8,1970,12,97,74,COD,Warehouse,Shipped,No,4.6,Desktop,,C,Seasonal demand,No
ORD70075,2025-01-02,1035,Leather Wallet,Fashion,StreetRoot,CUST4317,VIP,North,Delhi,Delhi,1,2080,15,123,89,NetBanking,Marketplace,Processing,No,4.3,Tablet,NEW10,D,Premium segment,No
ORD70076,2025-01-02,1036,Sunglasses,Fashion,SprintX,CUST4326,New,North,Jaipur,Rajasthan,3,2265,18,59,29,UPI,Warehouse,Delivered,No,4.5,Mobile,SAVE15,A,Fast moving item,No
ORD70077,2025-01-02,1037,Fitness Band Strap,Fashion,ModaCrew,CUST4335,Repeat,North,Lucknow,Uttar Pradesh,5,2450,20,53,44,Card,Marketplace,Delivered,No,4.0,Desktop,FEST20,B,Stable demand,No
ORD70078,2025-01-02,1038,Cap,Fashion,UrbanBeat,CUST4344,VIP,South,Bengaluru,Karnataka,7,2635,5,79,59,COD,Warehouse,Shipped,No,4.2,Tablet,MEGA5,C,Seasonal demand,No
ORD70079,2025-01-02,1039,Travel Hoodie,Fashion,FitWear,CUST4353,New,South,Hyderabad,Telangana,5,2820,8,105,74,NetBanking,Marketplace,Processing,No,4.4,Mobile,,D,Premium segment,No
ORD70080,2025-01-02,1040,Gym Bag,Fashion,StreetRoot,CUST4362,Repeat,South,Chennai,Tamil Nadu,2,2930,10,131,89,UPI,Warehouse,Delivered,No,4.2,Desktop,NEW10,A,Fast moving item,No
ORD70081,2025-01-03,1001,Wireless Mouse,Electronics,Voltix,CUST4022,VIP,West,Vadodara,Gujarat,3,1830,5,35,29,COD,Warehouse,Shipped,No,4.0,Tablet,FEST20,C,Seasonal demand,No
ORD70082,2025-01-03,1002,Bluetooth Keyboard,Electronics,SoundMax,CUST4031,New,West,Rajkot,Gujarat,5,2015,8,61,44,NetBanking,Marketplace,Processing,No,4.2,Mobile,MEGA5,D,Premium segment,No
ORD70083,2025-01-03,1003,Gaming Headset,Electronics,VisionOne,CUST4040,Repeat,West,Mumbai,Maharashtra,7,2200,10,87,59,UPI,Warehouse,Delivered,No,4.4,Desktop,,A,Fast moving item,No
ORD70084,2025-01-03,1004,USB-C Charger,Electronics,TechAura,CUST4049,VIP,West,Pune,Maharashtra,4,2310,12,113,74,Card,Marketplace,Delivered,No,4.2,Tablet,NEW10,B,Stable demand,No
ORD70085,2025-01-03,1005,Webcam HD,Electronics,ByteCraft,CUST4058,New,West,Nagpur,Maharashtra,2,2495,15,107,89,COD,Warehouse,Shipped,No,4.4,Mobile,SAVE15,C,Seasonal demand,No
ORD70086,2025-01-03,1006,Power Bank,Electronics,Voltix,CUST4067,Repeat,North,Delhi,Delhi,4,2680,18,43,29,NetBanking,Marketplace,Processing,No,4.6,Desktop,FEST20,D,Premium segment,No
ORD70087,2025-01-03,1007,Smart Watch,Electronics,SoundMax,CUST4076,VIP,North,Jaipur,Rajasthan,6,2865,20,69,44,UPI,Warehouse,Delivered,No,4.1,Tablet,MEGA5,A,Fast moving item,No
ORD70088,2025-01-03,1008,Portable SSD,Electronics,VisionOne,CUST4085,New,North,Lucknow,Uttar Pradesh,8,3050,5,95,59,Card,Marketplace,Delivered,No,4.3,Mobile,,B,Stable demand,No
ORD70089,2025-01-03,1009,Noise Cancelling Headphones,Electronics,TechAura,CUST4094,Repeat,South,Bengaluru,Karnataka,1,3160,8,77,74,COD,Warehouse,Shipped,No,4.0,Desktop,NEW10,C,Seasonal demand,No
ORD70090,2025-01-03,1010,LED Monitor,Electronics,ByteCraft,CUST4103,VIP,South,Hyderabad,Telangana,3,3345,10,115,89,NetBanking,Marketplace,Processing,No,4.3,Tablet,SAVE15,D,Premium segment,No
ORD70091,2025-01-03,1011,Laptop Sleeve,Accessories,UrbanTrail,CUST4112,New,South,Chennai,Tamil Nadu,3,730,5,63,29,UPI,Warehouse,Delivered,No,4.0,Mobile,FEST20,A,Fast moving item,No
ORD70092,2025-01-03,1012,Phone Case,Accessories,CarryNest,CUST4121,Repeat,East,Kolkata,West Bengal,5,915,8,89,44,Card,Marketplace,Delivered,No,4.2,Desktop,MEGA5,B,Stable demand,No
ORD70093,2025-01-03,1013,Desk Organizer,Accessories,LoopGear,CUST4130,VIP,West,Ahmedabad,Gujarat,7,1100,10,83,59,COD,Warehouse,Shipped,No,4.4,Tablet,,C,Seasonal demand,No
ORD70094,2025-01-03,1014,Cable Protector,Accessories,FlexCase,CUST4139,New,West,Surat,Gujarat,4,1210,12,109,74,NetBanking,Marketplace,Processing,No,4.2,Mobile,NEW10,D,Premium segment,No
ORD70095,2025-01-03,1015,Mouse Pad,Accessories,PackPoint,CUST4148,Repeat,West,Vadodara,Gujarat,2,1395,15,180,89,UPI,Warehouse,Delivered,No,4.4,Desktop,SAVE15,A,Fast moving item,No
ORD70096,2025-01-03,1016,Backpack,Accessories,UrbanTrail,CUST4157,VIP,West,Rajkot,Gujarat,4,1580,18,71,29,Card,Marketplace,Delivered,No,4.6,Tablet,FEST20,B,Stable demand,No
ORD70097,2025-01-03,1017,Laptop Stand,Accessories,CarryNest,CUST4166,New,West,Mumbai,Maharashtra,6,1765,20,65,44,COD,Warehouse,Shipped,No,4.1,Mobile,MEGA5,C,Seasonal demand,No
ORD70098,2025-01-03,1018,Screen Cleaner Kit,Accessories,LoopGear,CUST4175,Repeat,West,Pune,Maharashtra,8,1950,5,91,59,NetBanking,Marketplace,Processing,No,4.3,Desktop,,D,Premium segment,No
ORD70099,2025-01-03,1019,Travel Adapter,Accessories,FlexCase,CUST4184,VIP,West,Nagpur,Maharashtra,1,2060,8,117,74,UPI,Warehouse,Delivered,No,4.0,Tablet,NEW10,A,Fast moving item,No
ORD70100,2025-01-03,1020,Stylus Pen,Accessories,PackPoint,CUST4193,New,North,Delhi,Delhi,3,2245,10,143,89,Card,Marketplace,Delivered,No,4.3,Mobile,SAVE15,B,Stable demand,No
ORD70101,2025-01-03,1021,Smart Bulb,Home,BrightNest,CUST4202,Repeat,North,Jaipur,Rajasthan,3,630,5,47,29,COD,Warehouse,Shipped,No,4.0,Desktop,FEST20,C,Seasonal demand,No
ORD70102,2025-01-03,1022,LED Desk Lamp,Home,ClayCraft,CUST4211,VIP,North,Lucknow,Uttar Pradesh,5,815,8,73,44,NetBanking,Marketplace,Processing,No,4.2,Tablet,MEGA5,D,Premium segment,No
ORD70103,2025-01-03,1023,Ceramic Coffee Mug,Home,HomeGlow,CUST4220,New,South,Bengaluru,Karnataka,7,1000,10,144,59,UPI,Warehouse,Delivered,No,4.4,Mobile,,A,Fast moving item,No
ORD70104,2025-01-03,1024,Water Bottle,Home,NordLeaf,CUST4229,Repeat,South,Hyderabad,Telangana,4,1110,12,125,74,Card,Marketplace,Delivered,No,4.2,Desktop,NEW10,B,Stable demand,No
ORD70105,2025-01-03,1025,Air Purifier Filter,Home,AuraLite,CUST4238,VIP,South,Chennai,Tamil Nadu,2,1295,15,119,89,COD,Warehouse,Shipped,No,4.4,Tablet,SAVE15,C,Seasonal demand,No
ORD70106,2025-01-03,1026,Wall Clock,Home,BrightNest,CUST4247,New,East,Kolkata,West Bengal,4,1480,18,55,29,NetBanking,Marketplace,Processing,No,4.6,Mobile,FEST20,D,Premium segment,No
ORD70107,2025-01-03,1027,Storage Basket,Home,ClayCraft,CUST4256,Repeat,West,Ahmedabad,Gujarat,6,1665,20,126,44,UPI,Warehouse,Delivered,No,4.1,Desktop,MEGA5,A,Fast moving item,No
ORD70108,2025-01-03,1028,Table Runner,Home,HomeGlow,CUST4265,VIP,West,Surat,Gujarat,8,1850,5,107,59,Card,Marketplace,Delivered,No,4.3,Tablet,,B,Stable demand,No
ORD70109,2025-01-03,1029,Scented Candle,Home,NordLeaf,CUST4274,New,West,Vadodara,Gujarat,1,1960,8,101,74,COD,Warehouse,Shipped,No,4.0,Mobile,NEW10,C,Seasonal demand,No
ORD70110,2025-01-03,1030,Bedside Lamp,Home,AuraLite,CUST4283,Repeat,West,Rajkot,Gujarat,3,2145,10,127,89,NetBanking,Marketplace,Processing,Yes,4.3,Desktop,SAVE15,D,Premium segment,No
ORD70111,2025-01-03,1031,Running Shoes,Fashion,SprintX,CUST4292,VIP,West,Mumbai,Maharashtra,3,1430,5,51,29,UPI,Warehouse,Delivered,No,4.0,Tablet,FEST20,A,Fast moving item,No
ORD70112,2025-01-03,1032,Casual Sneakers,Fashion,ModaCrew,CUST4301,New,West,Pune,Maharashtra,5,1615,8,77,44,Card,Marketplace,Delivered,No,4.2,Mobile,MEGA5,B,Stable demand,No
ORD70113,2025-01-03,1033,Denim Jacket,Fashion,UrbanBeat,CUST4310,Repeat,West,Nagpur,Maharashtra,7,1800,10,71,59,COD,Warehouse,Shipped,No,4.4,Desktop,,C,Seasonal demand,No
ORD70114,2025-01-03,1034,Sports T-Shirt,Fashion,FitWear,CUST4319,VIP,North,Delhi,Delhi,4,1910,12,97,74,NetBanking,Marketplace,Processing,No,4.2,Tablet,NEW10,D,Premium segment,No
ORD70115,2025-01-03,1035,Leather Wallet,Fashion,StreetRoot,CUST4328,New,North,Jaipur,Rajasthan,2,2095,15,123,89,UPI,Warehouse,Delivered,No,4.4,Mobile,SAVE15,A,Fast moving item,No
ORD70116,2025-01-03,1036,Sunglasses,Fashion,SprintX,CUST4337,Repeat,North,Lucknow,Uttar Pradesh,4,2280,18,59,29,Card,Marketplace,Delivered,No,4.6,Desktop,FEST20,B,Stable demand,No
ORD70117,2025-01-03,1037,Fitness Band Strap,Fashion,ModaCrew,CUST4346,VIP,South,Bengaluru,Karnataka,6,2465,20,53,44,COD,Warehouse,Shipped,No,4.1,Tablet,MEGA5,C,Seasonal demand,No
ORD70118,2025-01-03,1038,Cap,Fashion,UrbanBeat,CUST4355,New,South,Hyderabad,Telangana,8,2650,5,79,59,NetBanking,Marketplace,Processing,No,4.3,Mobile,,D,Premium segment,No
ORD70119,2025-01-03,1039,Travel Hoodie,Fashion,FitWear,CUST4364,Repeat,South,Chennai,Tamil Nadu,1,2760,8,105,74,UPI,Warehouse,Delivered,No,4.0,Desktop,NEW10,A,Fast moving item,No
ORD70120,2025-01-03,1040,Gym Bag,Fashion,StreetRoot,CUST4373,VIP,East,Kolkata,West Bengal,3,2945,10,131,89,Card,Marketplace,Delivered,No,4.3,Tablet,SAVE15,B,Stable demand,No
ORD70121,2025-01-04,1001,Wireless Mouse,Electronics,Voltix,CUST4033,New,West,Rajkot,Gujarat,5,1845,5,35,29,NetBanking,Marketplace,Processing,No,4.1,Mobile,MEGA5,D,Premium segment,No
ORD70122,2025-01-04,1002,Bluetooth Keyboard,Electronics,SoundMax,CUST4042,Repeat,West,Mumbai,Maharashtra,8,2030,8,61,44,UPI,Warehouse,Delivered,No,4.3,Desktop,,A,Fast moving item,No
ORD70123,2025-01-04,1003,Gaming Headset,Electronics,VisionOne,CUST4051,VIP,West,Pune,Maharashtra,5,2140,10,87,59,Card,Marketplace,Delivered,No,4.0,Tablet,NEW10,B,Stable demand,No
